"Main category","Type","Sub category","Group"
,,"Fahrradständer aufstellen","Gebäude- und Grundstücksmanagement"
,,"Spielplatz verändern","Ordnungsamt"
,,"Schutzhütte aufstellen","Gebäude- und Grundstücksmanagement"
,,"Sitzgelegenheit aufstellen","Ordnungsamt"
"Gewerberecht","tip",,
,,"Alkoholverkauf an Jugendliche","Ordnungsamt"
,,"Baustellen ohne Firmenschilder","Ordnungsamt"
,,"Fehlende Preisangaben","Ordnungsamt"
,,"Rauchen in Gaststätten","Ordnungsamt"
,,"Spielhallen mit Jugendlichen","Ordnungsamt"
,,"Verdacht auf Schwarzarbeit","Ordnungsamt"
"Karte","tip",,
,,"Hausnummer fehlerhaft","Liegenschaften"
,,"Gebäude fehlerhaft","Liegenschaften"
"Winterdienst","tip",,
,,"Gehweg nicht geräumt","Ordnungsamt"
,,"Radweg nicht geräumt","Ordnungsamt"
,,"Straße nicht geräumt","Ordnungsamt"
,,"verbotener Streusalzeinsatz","Ordnungsamt"
"Ruhestörung / Gerüche ","problem",,
,,"Nichteinhaltung Ruhezeiten ","Ordnungsamt"
,,"Belästigung durch Gewerbe","Ordnungsamt"
,,"Belästigung durch Private","Ordnungsamt"
,,"Belästigung durch Veranstaltungen","Ordnungsamt"
"Tiere / Tierschutz","problem",,
,,"Beseitigung von Tierkadavern","Ordnungsamt"
,,"nicht artgerechte Haltung ","Ordnungsamt"
,,"Fundtiere / freilaufende Tiere ","Ordnungsamt"
